,Sigla da UF,Código do Município,Nome do Município,Código da Escola,Nome da Escola,Rede,ano,MT_5o,IDEB_5o,MT_9o,IDEB_9o,cactus,ID_PROVA_BRASIL,NIVEL_SOCIO_ECONOMICO,MEDIA_5EF_MT,MEDIA_9EF_MT
92,CE,2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2013,209.36,4.6,247.31,3.8,cactus19,2017,Grupo 2,237.24,297.01
93,CE,2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2015,226.39,4.9,266.9,4.6,cactus19,2017,Grupo 2,237.24,297.01
94,CE,2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2017,237.24,6.3,297.01,6.1,cactus19,2017,Grupo 2,237.24,297.01
95,CE,2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2019,237.17,5.5,276.11,5.2,cactus19,2017,Grupo 2,237.24,297.01
96,CE,2300200,Acaraú,23000481,Joaquim Jose Rodrigues Eeief,Municipal,2005,,,,,não cactus,2017,,213.12,280.36
97,CE,2300200,Acaraú,23000481,Joaquim Jose Rodrigues Eeief,Municipal,2007,,,,,não cactus,2017,,213.12,280.36
98,CE,2300200,Acaraú,23000481,Joaquim Jose Rodrigues Eeief,Municipal,2009,,,,,não cactus,2017,,213.12,280.36
99,CE,2300200,Acaraú,23000481,Joaquim Jose Rodrigues Eeief,Municipal,2011,,,,,não cactus,2017,,213.12,280.36
100,CE,2300200,Acaraú,23000481,Joaquim Jose Rodrigues Eeief,Municipal,2013,198.06,5.1,,,não cactus,2017,,213.12,280.36
101,CE,2300200,Acaraú,23000481,Joaquim Jose Rodrigues Eeief,Municipal,2015,,,,,não cactus,2017,,213.12,280.36
102,CE,2300200,Acaraú,23000481,Joaquim Jose Rodrigues Eeief,Municipal,2017,213.12,5.8,280.36,5.5,não cactus,2017,,213.12,280.36
103,CE,2300200,Acaraú,23000481,Joaquim Jose Rodrigues Eeief,Municipal,2019,270.83,7.3,278.16,5.7,não cactus,2017,,213.12,280.36
104,CE,2300200,Acaraú,23000490,Joaquim Tiago Do Nascimento Eeief,Municipal,2005,,,,,não cactus,2017,,237.94,242.15
105,CE,2300200,Acaraú,23000490,Joaquim Tiago Do Nascimento Eeief,Municipal,2007,,,,,não cactus,2017,,237.94,242.15
106,CE,2300200,Acaraú,23000490,Joaquim Tiago Do Nascimento Eeief,Municipal,2009,,,,,não cactus,2017,,237.94,242.15
107,CE,2300200,Acaraú,23000490,Joaquim Tiago Do Nascimento Eeief,Municipal,2011,,,,,não cactus,2017,,237.94,242.15
108,CE,2300200,Acaraú,23000490,Joaquim Tiago Do Nascimento Eeief,Municipal,2013,,,,,não cactus,2017,,237.94,242.15
109,CE,2300200,Acaraú,23000490,Joaquim Tiago Do Nascimento Eeief,Municipal,2015,,,,,não cactus,2017,,237.94,242.15
110,CE,2300200,Acaraú,23000490,Joaquim Tiago Do Nascimento Eeief,Municipal,2017,237.94,6.8,242.15,4.7,não cactus,2017,,237.94,242.15
111,CE,2300200,Acaraú,23000490,Joaquim Tiago Do Nascimento Eeief,Municipal,2019,249.08,6.4,,,não cactus,2017,,237.94,242.15
112,CE,2300200,Acaraú,23000520,Deputado Jose Filomeno Eeief,Municipal,2005,159.79,3.0,,,cactus19,2017,Grupo 2,197.92,254.55
113,CE,2300200,Acaraú,23000520,Deputado Jose Filomeno Eeief,Municipal,2007,190.51,4.0,227.26,3.1,cactus19,2017,Grupo 2,197.92,254.55
114,CE,2300200,Acaraú,23000520,Deputado Jose Filomeno Eeief,Municipal,2009,206.32,4.1,239.66,3.9,cactus19,2017,Grupo 2,197.92,254.55
115,CE,2300200,Acaraú,23000520,Deputado Jose Filomeno Eeief,Municipal,2011,256.1,6.1,262.98,4.4,cactus19,2017,Grupo 2,197.92,254.55
116,CE,2300200,Acaraú,23000520,Deputado Jose Filomeno Eeief,Municipal,2013,184.98,4.0,259.98,4.6,cactus19,2017,Grupo 2,197.92,254.55
117,CE,2300200,Acaraú,23000520,Deputado Jose Filomeno Eeief,Municipal,2015,210.78,5.4,254.32,4.4,cactus19,2017,Grupo 2,197.92,254.55
118,CE,2300200,Acaraú,23000520,Deputado Jose Filomeno Eeief,Municipal,2017,197.92,5.3,254.55,4.7,cactus19,2017,Grupo 2,197.92,254.55
119,CE,2300200,Acaraú,23000520,Deputado Jose Filomeno Eeief,Municipal,2019,242.85,6.4,265.55,5.0,cactus19,2017,Grupo 2,197.92,254.55
120,CE,2300200,Acaraú,23000562,Manoel Edgar Da Silveira Eeief,Municipal,2005,,,,,cactus19,2017,Grupo 2,239.67,280.91
121,CE,2300200,Acaraú,23000562,Manoel Edgar Da Silveira Eeief,Municipal,2007,,,,,cactus19,2017,Grupo 2,239.67,280.91
122,CE,2300200,Acaraú,23000562,Manoel Edgar Da Silveira Eeief,Municipal,2009,201.61,4.3,243.51,4.0,cactus19,2017,Grupo 2,239.67,280.91
123,CE,2300200,Acaraú,23000562,Manoel Edgar Da Silveira Eeief,Municipal,2011,192.69,4.5,244.6,3.7,cactus19,2017,Grupo 2,239.67,280.91
124,CE,2300200,Acaraú,23000562,Manoel Edgar Da Silveira Eeief,Municipal,2013,210.6,5.2,273.1,4.7,cactus19,2017,Grupo 2,239.67,280.91
125,CE,2300200,Acaraú,23000562,Manoel Edgar Da Silveira Eeief,Municipal,2015,221.21,5.6,252.79,4.5,cactus19,2017,Grupo 2,239.67,280.91
126,CE,2300200,Acaraú,23000562,Manoel Edgar Da Silveira Eeief,Municipal,2017,239.67,6.7,280.91,5.5,cactus19,2017,Grupo 2,239.67,280.91
127,CE,2300200,Acaraú,23000562,Manoel Edgar Da Silveira Eeief,Municipal,2019,263.64,7.5,289.94,5.9,cactus19,2017,Grupo 2,239.67,280.91
128,CE,2300200,Acaraú,23000651,Maria Leonete Brandao Eeief Profª,Municipal,2005,151.38,2.9,,,cactus19,2017,,234.08,250.12
129,CE,2300200,Acaraú,23000651,Maria Leonete Brandao Eeief Profª,Municipal,2007,154.14,3.0,,,cactus19,2017,,234.08,250.12
130,CE,2300200,Acaraú,23000651,Maria Leonete Brandao Eeief Profª,Municipal,2009,165.48,3.1,,,cactus19,2017,,234.08,250.12
131,CE,2300200,Acaraú,23000651,Maria Leonete Brandao Eeief Profª,Municipal,2011,170.24,3.6,221.16,3.4,cactus19,2017,,234.08,250.12
132,CE,2300200,Acaraú,23000651,Maria Leonete Brandao Eeief Profª,Municipal,2013,179.76,3.7,,,cactus19,2017,,234.08,250.12
133,CE,2300200,Acaraú,23000651,Maria Leonete Brandao Eeief Profª,Municipal,2015,,5.6,,4.2,cactus19,2017,,234.08,250.12
134,CE,2300200,Acaraú,23000651,Maria Leonete Brandao Eeief Profª,Municipal,2017,234.08,6.1,250.12,4.8,cactus19,2017,,234.08,250.12
135,CE,2300200,Acaraú,23000651,Maria Leonete Brandao Eeief Profª,Municipal,2019,222.61,6.0,244.77,4.8,cactus19,2017,,234.08,250.12
136,CE,2300200,Acaraú,23000660,Maria Nazare Viana Eeief,Municipal,2005,,,,,não cactus,2017,,216.38,287.18
137,CE,2300200,Acaraú,23000660,Maria Nazare Viana Eeief,Municipal,2007,,,,,não cactus,2017,,216.38,287.18
138,CE,2300200,Acaraú,23000660,Maria Nazare Viana Eeief,Municipal,2009,,,219.68,3.9,não cactus,2017,,216.38,287.18
139,CE,2300200,Acaraú,23000660,Maria Nazare Viana Eeief,Municipal,2011,,,,,não cactus,2017,,216.38,287.18
140,CE,2300200,Acaraú,23000660,Maria Nazare Viana Eeief,Municipal,2013,,,,,não cactus,2017,,216.38,287.18
141,CE,2300200,Acaraú,23000660,Maria Nazare Viana Eeief,Municipal,2015,,,,,não cactus,2017,,216.38,287.18
142,CE,2300200,Acaraú,23000660,Maria Nazare Viana Eeief,Municipal,2017,216.38,5.8,287.18,5.9,não cactus,2017,,216.38,287.18
143,CE,2300200,Acaraú,23000660,Maria Nazare Viana Eeief,Municipal,2019,252.25,7.1,256.78,4.9,não cactus,2017,,216.38,287.18
144,CE,2300200,Acaraú,23000708,Higino De Souza Brandao Eeief,Municipal,2005,,,,,cactus19,2017,,247.48,271.06
145,CE,2300200,Acaraú,23000708,Higino De Souza Brandao Eeief,Municipal,2007,,,,,cactus19,2017,,247.48,271.06
146,CE,2300200,Acaraú,23000708,Higino De Souza Brandao Eeief,Municipal,2009,,,,,cactus19,2017,,247.48,271.06
147,CE,2300200,Acaraú,23000708,Higino De Souza Brandao Eeief,Municipal,2011,205.96,4.6,,,cactus19,2017,,247.48,271.06
148,CE,2300200,Acaraú,23000708,Higino De Souza Brandao Eeief,Municipal,2013,189.31,4.4,,,cactus19,2017,,247.48,271.06
149,CE,2300200,Acaraú,23000708,Higino De Souza Brandao Eeief,Municipal,2015,,5.3,,4.7,cactus19,2017,,247.48,271.06
150,CE,2300200,Acaraú,23000708,Higino De Souza Brandao Eeief,Municipal,2017,247.48,6.6,271.06,5.3,cactus19,2017,,247.48,271.06
151,CE,2300200,Acaraú,23000708,Higino De Souza Brandao Eeief,Municipal,2019,255.5,7.1,279.53,5.5,cactus19,2017,,247.48,271.06
152,CE,2300200,Acaraú,23000791,Dona Eulina Magalhaes Eef,Municipal,2005,162.65,3.3,233.27,2.8,cactus19,2017,Grupo 2,208.49,279.55
