,Sigla da UF,Código do Município,Nome do Município_x,Código da Escola,Nome da Escola,Rede,ano,MT_5o,IDEB_5o,MT_9o,IDEB_9o,Nome do Município_y,cactus
109,CE,2300200,Acaraú,23000074,Anselmo Jose Da Silveira Eeief,Municipal,2015,239.94,6.4,,,Acaraú,não cactus
110,CE,2300200,Acaraú,23000074,Anselmo Jose Da Silveira Eeief,Municipal,2017,255.5,7.1,,,Acaraú,não cactus
111,CE,2300200,Acaraú,23000074,Anselmo Jose Da Silveira Eeief,Municipal,2019,273.86,7.8,,,Acaraú,não cactus
112,CE,2300200,Acaraú,23000104,Aristides Floriano De Oliveira Eeief,Municipal,2005,,,,,Acaraú,não cactus
113,CE,2300200,Acaraú,23000104,Aristides Floriano De Oliveira Eeief,Municipal,2007,,,,,Acaraú,não cactus
114,CE,2300200,Acaraú,23000104,Aristides Floriano De Oliveira Eeief,Municipal,2009,,,237.02,3.4,Acaraú,não cactus
115,CE,2300200,Acaraú,23000104,Aristides Floriano De Oliveira Eeief,Municipal,2011,210.86,5.2,249.11,4.2,Acaraú,não cactus
116,CE,2300200,Acaraú,23000104,Aristides Floriano De Oliveira Eeief,Municipal,2013,,,245.56,4.0,Acaraú,não cactus
117,CE,2300200,Acaraú,23000104,Aristides Floriano De Oliveira Eeief,Municipal,2015,,6.1,,6.2,Acaraú,não cactus
118,CE,2300200,Acaraú,23000104,Aristides Floriano De Oliveira Eeief,Municipal,2017,245.48,6.5,302.3,5.8,Acaraú,não cactus
119,CE,2300200,Acaraú,23000104,Aristides Floriano De Oliveira Eeief,Municipal,2019,249.99,6.7,307.29,5.8,Acaraú,não cactus
120,CE,2300200,Acaraú,23000147,Carolino Lopes Araujo Eeief,Municipal,2005,,,,,Acaraú,não cactus
121,CE,2300200,Acaraú,23000147,Carolino Lopes Araujo Eeief,Municipal,2007,,,,,Acaraú,não cactus
122,CE,2300200,Acaraú,23000147,Carolino Lopes Araujo Eeief,Municipal,2009,165.9,3.3,204.43,3.1,Acaraú,não cactus
123,CE,2300200,Acaraú,23000147,Carolino Lopes Araujo Eeief,Municipal,2011,190.79,4.4,208.5,3.0,Acaraú,não cactus
124,CE,2300200,Acaraú,23000147,Carolino Lopes Araujo Eeief,Municipal,2013,181.13,4.4,230.81,4.0,Acaraú,não cactus
125,CE,2300200,Acaraú,23000147,Carolino Lopes Araujo Eeief,Municipal,2015,212.05,5.5,,,Acaraú,não cactus
126,CE,2300200,Acaraú,23000147,Carolino Lopes Araujo Eeief,Municipal,2017,237.46,6.5,265.57,5.2,Acaraú,não cactus
127,CE,2300200,Acaraú,23000147,Carolino Lopes Araujo Eeief,Municipal,2019,239.13,6.5,251.85,4.8,Acaraú,não cactus
128,CE,2300200,Acaraú,23000163,Antonio Alves De Freitas Eeief,Municipal,2005,,,,,Acaraú,não cactus
129,CE,2300200,Acaraú,23000163,Antonio Alves De Freitas Eeief,Municipal,2007,157.43,3.2,,,Acaraú,não cactus
130,CE,2300200,Acaraú,23000163,Antonio Alves De Freitas Eeief,Municipal,2009,183.64,3.3,217.31,3.4,Acaraú,não cactus
