ID_ESCOLA,reprovacao,carro,superior,ano,porc_sexo_masc,porc_cor_prePar,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,NIVEL_SOCIO_ECONOMICO,NU_MATRICULADOS_CENSO_9EF
23058765,0.26666666666666666,0.26666666666666666,0.06666666666666667,2019,0.6,0.7333333333333333,3,2,Nível II,15
23058919,0.2727272727272727,0.5,0,2019,0.6,0.68,3,1,Nível III,25
23058960,0.2641509433962264,0.37735849056603776,0.07547169811320754,2019,0.4038461538461539,0.5,3,1,Nível III,52
23059079,0.21428571428571427,0.14285714285714285,0.07142857142857142,2019,0.5625,1,3,2,Nível III,16
23059133,0.5384615384615384,0,0,2019,0.6666666666666666,0.7333333333333333,3,2,Nível II,15
23059168,0.45454545454545453,0.36363636363636365,0,2019,0.5,0.8571428571428571,3,2,Nível IV,14
23059184,0.21428571428571427,0.35714285714285715,0.07142857142857142,2019,0.6,0.4666666666666667,3,2,Nível III,15
23059265,0.15384615384615385,0.46153846153846156,0.07692307692307693,2019,0.5862068965517241,0.8275862068965517,3,1,Nível III,29
23059273,0.3,0.3,0.1,2019,0.6363636363636364,0.6363636363636364,3,2,Nível III,11
23059303,0.3076923076923077,0.38461538461538464,0.038461538461538464,2019,0.3,0.7333333333333333,3,2,Nível II,30
23059362,0.06666666666666667,0.4,0,2019,0.5294117647058824,0.7058823529411765,3,2,Nível III,17
23059532,0.34615384615384615,0.5384615384615384,0.038461538461538464,2019,0.4333333333333333,0.9666666666666667,3,2,Nível IV,30
23059583,0.045454545454545456,0.36363636363636365,0.13636363636363635,2019,0.4347826086956522,0.782608695652174,3,2,Nível III,23
23059591,0.4,0.6666666666666666,0.13333333333333333,2019,0.5,0.75,3,2,Nível III,16
23059664,0.4,0.25,0.1,2019,0.3478260869565217,0.8260869565217391,3,2,Nível III,23
23059702,0.2727272727272727,0.36363636363636365,0.09090909090909091,2019,0.44,0.64,3,2,Nível III,25
23059737,0.21428571428571427,0.21428571428571427,0.023809523809523808,2019,0.5490196078431373,0.7450980392156863,3,1,Nível II,51
23059788,0.23529411764705882,0.2647058823529412,0.08823529411764706,2019,0.717948717948718,0.7435897435897436,3,2,Nível III,39
23059885,0.10256410256410256,0.46153846153846156,0.10256410256410256,2019,0.3333333333333333,0.8333333333333334,3,1,Nível III,48
23059923,0.3125,0.0625,0.0625,2019,0.7058823529411765,1,3,2,Nível II,17
23060000,0.4090909090909091,0.36363636363636365,0,2019,0.4583333333333333,0.875,3,1,Nível III,24
23060034,0.23529411764705882,0.4117647058823529,0.17647058823529413,2019,0.4210526315789473,0.6842105263157895,3,2,Nível III,19
23060050,0,0.45,0,2019,0.4545454545454545,0.8636363636363636,3,2,Nível III,22
23060093,0.25,0.08333333333333333,0.08333333333333333,2019,0.6,0.3333333333333333,3,2,Nível III,15
23060107,0.09523809523809523,0.2857142857142857,0.047619047619047616,2019,0.5,0.8636363636363636,3,2,Nível II,22
23060115,0.15384615384615385,0.3076923076923077,0.07692307692307693,2019,0.5,0.7857142857142857,3,2,Nível III,14
23060204,0.1206896551724138,0.3620689655172414,0.15517241379310345,2019,0.4705882352941176,0.9264705882352942,3,1,Nível III,68
23060280,0.08333333333333333,0.08333333333333333,0,2019,0.4166666666666667,0.8333333333333334,3,2,Nível II,12
23060395,0.07692307692307693,0.15384615384615385,0.07692307692307693,2019,0.6428571428571429,1,3,2,Nível II,14
23060450,0.14285714285714285,0.07142857142857142,0,2019,0.5333333333333333,0.7333333333333333,3,2,Nível II,15
23060573,0.06666666666666667,0.3333333333333333,0.06666666666666667,2019,0.2666666666666667,0.8666666666666667,3,2,Nível III,15
23060700,0.15384615384615385,0.2692307692307692,0.038461538461538464,2019,0.4137931034482759,0.3448275862068966,3,1,Nível III,29
23060719,0.2,0.4,0.06666666666666667,2019,0.4736842105263158,0.5789473684210527,3,2,Nível III,19
23060735,0.2631578947368421,0.15789473684210525,0,2019,0.6666666666666666,0.9523809523809523,3,2,Nível II,21
23060760,0.20689655172413793,0.13793103448275862,0.06896551724137931,2019,0.4545454545454545,0.9090909090909091,3,1,Nível III,33
23060794,0.06593406593406594,0.32967032967032966,0.0989010989010989,2019,0.4210526315789473,0.8421052631578947,3,1,Nível III,95
23060840,0.2037037037037037,0.42592592592592593,0.09259259259259259,2019,0.5263157894736842,0.7368421052631579,3,1,Nível III,57
23060859,0.2222222222222222,0.3055555555555556,0.027777777777777776,2019,0.4615384615384616,0.9487179487179487,3,2,Nível III,39
23060956,0.4,0.4,0.13333333333333333,2019,0.6,0.6,3,1,Nível IV,15
23061022,0.34265734265734266,0.4965034965034965,0.16083916083916083,2019,0.4730538922155689,0.7005988023952096,3,1,Nível IV,167
23061073,0.5172413793103449,0.5172413793103449,0.06896551724137931,2019,0.6388888888888888,0.8611111111111112,3,1,Nível III,36
23061081,0.47368421052631576,0.42105263157894735,0.07894736842105263,2019,0.4871794871794872,0.8974358974358975,3,2,Nível IV,39
23061162,0.45454545454545453,0.09090909090909091,0,2019,0.4705882352941176,1,3,2,Nível III,17
23061197,0.25,0.3333333333333333,0,2019,0.7058823529411765,0.8235294117647058,3,2,Nível III,17
23061251,0.11904761904761904,0.30952380952380953,0.07142857142857142,2019,0.5957446808510638,0.8936170212765957,3,1,Nível III,47
23061430,0.23636363636363636,0.36363636363636365,0.10909090909090909,2019,0.609375,0.859375,3,1,Nível III,64
23061448,0.4878048780487805,0.3170731707317073,0.12195121951219512,2019,0.5869565217391305,0.6521739130434783,3,2,Nível III,46
23061618,0.24324324324324326,0.2972972972972973,0.05405405405405406,2019,0.4324324324324325,0.8108108108108109,3,1,Nível III,37
23061685,0.2727272727272727,0.4909090909090909,0.07272727272727272,2019,0.6101694915254238,0.7627118644067796,3,1,Nível IV,59
23061774,0.4166666666666667,0.3055555555555556,0.1388888888888889,2019,0.525,0.775,3,1,Nível III,40
23061790,0.2,0.35,0.15,2019,0.4583333333333333,0.9166666666666666,3,2,Nível III,24
23061804,0.17567567567567569,0.3783783783783784,0.08108108108108109,2019,0.5333333333333333,0.76,3,1,Nível IV,75
23061944,0.3333333333333333,0.3888888888888889,0,2019,0.4,0.92,3,1,Nível III,25
23061952,0.3442622950819672,0.39344262295081966,0.14754098360655737,2019,0.4615384615384616,0.8461538461538461,3,1,Nível IV,65
23061960,0.10810810810810811,0.35135135135135137,0.05405405405405406,2019,0.3255813953488372,0.9534883720930233,3,1,Nível III,43
23062053,0.2605042016806723,0.40336134453781514,0.11764705882352941,2019,0.4807692307692308,0.8525641025641025,3,1,Nível IV,156
23062061,0.3584905660377358,0.37735849056603776,0.05660377358490566,2019,0.4310344827586207,0.5344827586206896,3,1,Nível III,58
23062100,0.21052631578947367,0.43859649122807015,0.07017543859649122,2019,0.5072463768115942,0.7246376811594203,3,1,Nível IV,69
23062169,0.3805309734513274,0.4690265486725664,0.18584070796460178,2019,0.5909090909090909,0.6136363636363636,3,1,Nível IV,132
23062207,0.3008130081300813,0.3252032520325203,0.08130081300813008,2019,0.5375,0.86875,3,1,Nível III,160
23062223,0.2702702702702703,0.40540540540540543,0.05405405405405406,2019,0.4887218045112782,0.706766917293233,3,1,Nível IV,133
23062231,0.35714285714285715,0.39285714285714285,0.07142857142857142,2019,0.4262295081967213,0.9508196721311475,3,1,Nível IV,61
23062290,0.35185185185185186,0.2962962962962963,0.037037037037037035,2019,0.4861111111111111,0.6805555555555556,3,1,Nível IV,72
23062452,0.2711864406779661,0.4067796610169492,0.0847457627118644,2019,0.421875,0.9375,3,1,Nível III,64
23062487,0.2087912087912088,0.26373626373626374,0.07692307692307693,2019,0.5048543689320388,0.8932038834951457,3,1,Nível III,103
23062568,0.21052631578947367,0.6842105263157895,0.21052631578947367,2019,0.4117647058823529,0.9215686274509803,3,1,Nível IV,51
23062819,0.27906976744186046,0.32558139534883723,0.06976744186046512,2019,0.56,0.6,3,1,Nível IV,50
23062827,0.2857142857142857,0.35714285714285715,0.07142857142857142,2019,0.5294117647058824,0.8823529411764706,3,2,Nível III,17
23062908,0.25,0.3888888888888889,0.16666666666666666,2019,0.4871794871794872,0.9230769230769231,3,1,Nível III,39
23062932,0.5135135135135135,0.4594594594594595,0.08108108108108109,2019,0.66,0.94,3,1,Nível III,50
23062959,0.2727272727272727,0.22727272727272727,0.09090909090909091,2019,0.5238095238095238,0.8095238095238095,3,2,Nível III,21
23062983,0.5,0.15625,0.0625,2019,0.4285714285714285,0.8857142857142857,3,1,Nível III,35
23063173,0.2978723404255319,0.3617021276595745,0.0425531914893617,2019,0.5384615384615384,0.8269230769230769,3,1,Nível IV,52
23063181,0.3448275862068966,0.4482758620689655,0.034482758620689655,2019,0.5142857142857142,0.5142857142857142,3,1,Nível III,35
23063238,0.2727272727272727,0.4772727272727273,0.022727272727272728,2019,0.6222222222222222,0.9777777777777777,3,1,Nível III,45
23063416,0.3157894736842105,0.42105263157894735,0.15789473684210525,2019,0.3,1,3,2,Nível III,20
23063530,0.18181818181818182,0.2727272727272727,0.2727272727272727,2019,0.25,0.9166666666666666,3,1,Nível III,12
23063556,0.3333333333333333,0.3333333333333333,0.2222222222222222,2019,0.4166666666666667,0.9166666666666666,3,2,Nível IV,12
23063572,0.3050847457627119,0.3220338983050847,0.13559322033898305,2019,0.3833333333333334,0.6666666666666666,3,1,Nível IV,60
23063602,0.35294117647058826,0.4117647058823529,0.058823529411764705,2019,0.4705882352941176,1,3,2,Nível II,17
23063661,0.6666666666666666,0.2222222222222222,0,2019,0.4166666666666667,0.9166666666666666,3,2,Nível IV,12
23063700,0.07407407407407407,0.37037037037037035,0.07407407407407407,2019,0.4838709677419355,0.9354838709677419,3,2,Nível III,31
23063718,0.08333333333333333,0.4166666666666667,0.08333333333333333,2019,0.5,1,3,1,Nível IV,30
23063726,0.4925373134328358,0.26865671641791045,0.13432835820895522,2019,0.4605263157894737,0.9605263157894737,3,1,Nível IV,76
23063734,0.21875,0.3125,0.03125,2019,0.525,0.9,3,2,Nível III,40
23063750,0.15789473684210525,0.21052631578947367,0.05263157894736842,2019,0.3478260869565217,0.9565217391304348,3,2,Nível II,23
23063769,0.5,0.35714285714285715,0,2019,0.5625,1,3,2,Nível III,16
23063815,0.5714285714285714,0.2857142857142857,0,2019,0.4545454545454545,1,3,2,Nível II,11
23063882,0.3,0.2,0,2019,0.5714285714285714,0.9285714285714286,3,2,Nível III,14
23063920,0.14285714285714285,0.2857142857142857,0.047619047619047616,2019,0.4230769230769231,0.6923076923076923,3,2,Nível III,26
23063947,0.13333333333333333,0.4,0,2019,0.3529411764705883,0.8823529411764706,3,2,Nível III,17
23063955,0.3333333333333333,0.13043478260869565,0.14492753623188406,2019,0.4761904761904762,0.7023809523809523,3,1,Nível III,84
23063963,0.1875,0.375,0.125,2019,0.5294117647058824,0.7058823529411765,3,2,Nível III,17
23064021,0.23076923076923078,0.28205128205128205,0.02564102564102564,2019,0.5348837209302325,0.6046511627906976,3,2,Nível III,43
23064056,0.16216216216216217,0.35135135135135137,0.05405405405405406,2019,0.4833333333333333,0.9166666666666666,3,1,Nível III,60
23064161,0.36363636363636365,0.09090909090909091,0,2019,0.5833333333333334,0.6666666666666666,3,2,Nível II,12
23064170,0.2777777777777778,0.3333333333333333,0.1111111111111111,2019,0.4117647058823529,1,3,2,Nível III,17
23064366,0.08333333333333333,0.4166666666666667,0.125,2019,0.4,0.9333333333333333,3,1,Nível IV,60
23064374,0.1095890410958904,0.5068493150684932,0.0684931506849315,2019,0.5256410256410257,0.8589743589743589,3,1,Nível IV,78
23064390,0.136986301369863,0.5068493150684932,0.1506849315068493,2019,0.5454545454545454,0.7532467532467533,3,1,Nível IV,77
23064404,0.13043478260869565,0.34782608695652173,0.043478260869565216,2019,0.4444444444444444,0.8518518518518519,3,1,Nível III,27
23064420,0.15254237288135594,0.5084745762711864,0.11864406779661017,2019,0.453125,0.828125,3,1,Nível IV,64
23064447,0.2222222222222222,0.5925925925925926,0.18518518518518517,2019,0.5666666666666667,0.7,3,1,Nível IV,30
23064455,0.20408163265306123,0.5102040816326531,0.16326530612244897,2019,0.5094339622641509,0.5471698113207547,3,1,Nível IV,53
23064463,0.2708333333333333,0.4791666666666667,0.22916666666666666,2019,0.3673469387755102,1,3,1,Nível IV,49
23064471,0.16666666666666666,0.5555555555555556,0.05555555555555555,2019,0.3513513513513514,0.8108108108108109,3,1,Nível IV,37
23064498,0.2465753424657534,0.4931506849315068,0.0958904109589041,2019,0.4459459459459459,0.6486486486486487,3,1,Nível IV,74
23064528,0.109375,0.609375,0.265625,2019,0.5972222222222222,0.6527777777777778,3,1,Nível V,72
23064536,0.14285714285714285,0.5142857142857142,0.08571428571428572,2019,0.5238095238095238,0.7380952380952381,3,1,Nível IV,42
23064560,0.2413793103448276,0.5172413793103449,0.1724137931034483,2019,0.4918032786885246,0.5901639344262295,3,1,Nível IV,61
23064587,0.17777777777777778,0.3333333333333333,0.044444444444444446,2019,0.5769230769230769,0.9230769230769231,3,1,Nível IV,52
23064927,0.36818181818181817,0.2863636363636364,0.045454545454545456,2019,0.4943820224719101,0.7265917602996255,3,1,Nível III,267
23065028,0.21818181818181817,0.21818181818181817,0.01818181818181818,2019,0.5757575757575758,0.3939393939393939,3,1,Nível III,66
23065125,0.2868217054263566,0.20930232558139536,0.06976744186046512,2019,0.4850746268656717,0.5447761194029851,3,1,Nível III,134
23065192,0.25,0.4083333333333333,0.10833333333333334,2019,0.3884297520661157,0.7272727272727273,3,1,Nível IV,121
23065265,0.1619047619047619,0.37142857142857144,0.0761904761904762,2019,0.5431034482758621,0.7241379310344828,3,1,Nível IV,116
23065346,0.19672131147540983,0.26229508196721313,0.04918032786885246,2019,0.4444444444444444,0.8194444444444444,3,1,Nível III,72
23065621,0.19540229885057472,0.3333333333333333,0.06896551724137931,2019,0.5222222222222223,0.6777777777777778,3,1,Nível IV,90
23065834,0.19607843137254902,0.3333333333333333,0.026143790849673203,2019,0.4545454545454545,0.4829545454545455,3,1,Nível III,176
23067390,0.2564102564102564,0.3525641025641026,0.07051282051282051,2019,0.4431818181818182,0.6931818181818182,3,1,Nível IV,176
23067543,0.22627737226277372,0.40875912408759124,0.072992700729927,2019,0.54216867469879515,0.5,3,1,Nível IV,166
23067691,0.23863636363636365,0.18181818181818182,0.06818181818181818,2019,0.4869565217391305,0.7739130434782608,3,1,Nível III,115
