id_escola,nome_escola,ano,nota_matematica,ideb,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,NIVEL_SOCIO_ECONOMICO,NU_MATRICULADOS_CENSO_9EF,reprovacao,carro,superior,porc_sexo_masc,porc_cor_prePar,cactus,ID_MUNICIPIO,ano_cactus
23051817,PADRE CRISOSTOMO EEF,2015,245.22,3.5,3,1,Médio Baixo,114,0.29411764705882354,0.23529411764705882,0.0392156862745098,0.3786407766990291,0.7864077669902912,0,2300150,0
23051817,PADRE CRISOSTOMO EEF,2019,273.49,4.6,3,1,Nível III,78,0.20833333333333334,0.25,0.09722222222222222,0.3333333333333333,0.7692307692307693,0,2300150,0
23051906,RAIMUNDO ALVES E E F,2019,248.95,4.4,3,2,Nível II,13,0.3333333333333333,0.08333333333333333,0,0.6153846153846154,0.6923076923076923,0,2300150,0
23000104,ARISTIDES FLORIANO DE OLIVEIRA EEIEF,2013,245.56,4,3,2,Grupo 1,26,0.2608695652173913,0.1,0,0.38095238095238093,0.65,0,2300200,0
23000104,ARISTIDES FLORIANO DE OLIVEIRA EEIEF,2015,300.17,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2300200,0
23000104,ARISTIDES FLORIANO DE OLIVEIRA EEIEF,2017,302.3,5.8,3,2,NA,13,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5,0.5,0,2300200,0
23000104,ARISTIDES FLORIANO DE OLIVEIRA EEIEF,2019,307.29,5.8,3,2,Nível II,21,0.047619047619047616,0.2857142857142857,0.047619047619047616,0.4761904761904762,0.5714285714285714,0,2300200,0
23000147,CAROLINO LOPES ARAUJO EEIEF,2013,230.81,4,3,2,Grupo 1,37,0.3142857142857143,0.08333333333333333,0,0.3142857142857143,0.7222222222222222,0,2300200,0
23000147,CAROLINO LOPES ARAUJO EEIEF,2017,265.57,5.2,3,2,Grupo 1,31,0.07142857142857142,0.27586206896551724,0.037037037037037035,0.42857142857142855,0.7241379310344828,0,2300200,0
23000147,CAROLINO LOPES ARAUJO EEIEF,2019,251.85,4.8,3,2,Nível II,19,0.2777777777777778,0.05555555555555555,0,0.631578947368421,0.8421052631578947,0,2300200,0
